rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
146,490.0,0.3193877551020408,0.5224489795918368,0.3673469387755102,0.5224489795918368,0.3673469387755102,0.0,156.5,256.0,180.0,256.0,180.0,0.0,5,5.219004097707057,5.675582142420849,5.675582142420849,1670.9386386915364,True,cf89450c
147,490.0,0.20408163265306123,0.3673469387755102,0.4782312925170068,0.3673469387755102,0.4782312925170068,0.0,100.0,180.0,234.33333333333334,180.0,234.33333333333334,0.0,5,5.178208643230619,6.119377105078582,6.119377105078582,1604.821638345492,True,c188b6c3
148,490.0,0.3193877551020408,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.0,156.5,180.0,180.0,180.0,180.0,0.0,5,5.148635067806936,5.90868337566816,5.90868337566816,1630.3842702403797,True,6f2f4b13
149,490.0,0.3193877551020408,0.6,0.3673469387755102,0.6,0.3673469387755102,0.0,156.5,294.0,180.0,294.0,180.0,0.0,5,5.137083654306025,5.591184981595604,5.591184981595604,1685.897432739711,True,77b52b61
150,545.0,0.3056574923547401,0.42018348623853213,0.45351681957186546,0.42018348623853213,0.45351681957186546,0.0,166.58333333333334,229.0,247.16666666666669,229.0,247.16666666666669,0.0,6,5.054696567617384,5.716463227004625,5.716463227004625,1681.4611123418706,True,b8a8066b
151,490.0,0.20408163265306123,0.6,0.4782312925170068,0.6,0.4782312925170068,0.0,100.0,294.0,234.33333333333334,294.0,234.33333333333334,0.0,5,4.903078247769827,5.9571696993097705,5.9571696993097705,1666.3517288391695,False,7575e0e0
152,490.0,0.3193877551020408,0.3673469387755102,0.4782312925170068,0.3673469387755102,0.4782312925170068,0.0,156.5,180.0,234.33333333333334,180.0,234.33333333333334,0.0,6,4.841069840814953,5.699073530940389,5.699073530940389,1521.4586668867028,False,4f6ceb74
153,545.0,0.1834862385321101,0.42018348623853213,0.5767584097859327,0.42018348623853213,0.5767584097859327,0.0,100.0,229.0,314.3333333333333,229.0,314.3333333333333,0.0,6,4.738650441948721,6.090366365675809,6.090366365675809,1674.7725563843837,False,3d22a49f
154,490.0,0.4346938775510204,0.3673469387755102,0.5891156462585034,0.3673469387755102,0.5891156462585034,0.0,213.0,180.0,288.6666666666667,180.0,288.6666666666667,0.0,7,4.199428194869824,5.951202586264584,5.951202586264584,1553.8376017527357,False,2874ab9e
155,435.0,0.55,0.5287356321839081,0.6045977011494252,0.5287356321839081,0.6045977011494252,0.0,239.25000000000003,230.0,263.0,230.0,263.0,0.0,6,4.150442847504337,6.718905570183556,6.718905570183556,1695.7880858247372,False,2226c39c
